number,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate
condition_1,529098.5,260360039.0,1757.0594221565623,98.83439844401222,0.020283412058905253,35.0,0.0,637.0,146.0,787.0,356882.2164663654,-0.0016091231951483745,355705.0,597.0
condition_1,391979.0,202303906.0,1795.534242270142,80.69574881911642,0.07057515976660184,18.0,0.0,557.0,140.0,731.0,291846.63429697417,-0.005997439763176922,290424.0,586.0
condition_1,781849.0,661783606.0,951.5502457807938,124.05723812170048,-0.10836343428730202,41.0,0.0,641.0,133.0,791.0,447628.1897309077,-0.09153666267000998,446482.0,508.0
condition_1,588840.0,357766319.0,1897.82962451253,104.23895526535149,0.3039733259238677,27.0,0.0,556.0,140.0,706.0,376521.64490003855,0.008347968879730121,375156.0,542.0
condition_1,569479.0,377305851.0,1891.3892034422759,97.42261739372047,-0.13892747985551543,24.0,0.0,570.0,135.0,720.0,351974.38696151593,-0.006460147232007238,350624.0,605.0
condition_1,492290.0,606283464.0,2128.5645056319727,81.28424562378439,0.3612114476243401,6.0,0.0,487.0,121.0,645.0,294226.9514630999,0.018245961798813933,292542.0,575.0
condition_10,1334870.0,1210508031.0,2045.5356471030302,167.85329258127257,-0.02000555709919422,73.0,0.0,686.0,142.0,813.0,605170.8579292602,0.0706804543992121,604104.0,444.0
condition_10,1027502.0,867318424.0,1709.6589742373558,148.5390386218394,0.0,47.0,0.0,638.0,139.0,777.0,535849.7693746665,-0.023017643236958076,534592.0,482.0
condition_10,1295284.0,1152593224.0,1964.6065772541797,175.95109752709087,0.21005834954153932,78.0,0.0,671.0,132.0,797.0,634287.8559544673,0.01849415163277924,633248.0,483.0
condition_10,965996.0,953939669.0,1677.55196726702,149.88830230619615,-0.08946929702695193,40.0,0.0,554.0,135.0,757.0,540793.537936697,-0.014919227874426025,539448.0,686.0
condition_10,1013365.5,699492538.0,1809.3469073747287,139.62628507918868,0.1675465407057516,47.0,0.0,603.0,112.0,718.0,503868.0928768889,-0.004321035827240338,502515.0,412.0
condition_11,512217.5,388901490.0,1736.507909103151,87.28396776882467,0.010280633509308142,7.0,0.0,397.0,137.0,640.0,315827.25411920523,0.0030834192193996317,314135.0,737.0
condition_11,622489.5,428781505.0,1780.1317669123812,108.37093637121423,0.030841900527924425,26.0,0.0,560.0,133.0,689.0,391407.33439325704,0.0010288091071611835,390027.0,467.0
condition_11,290979.5,204009620.0,2580.6199608871384,54.51264240066685,0.10252848013337038,0.0,0.0,232.0,133.0,505.0,198420.07237417126,0.05004444856310048,196191.0,713.0
condition_11,420008.0,286364966.0,1835.4163384741694,71.10475131981106,-0.17338149485968324,3.0,0.0,389.0,127.0,592.0,257726.85180128118,0.004229840346952702,255906.0,600.0
condition_11,789291.5,632445166.0,1081.3867255789887,124.19811058627397,-0.010280633509308142,32.0,0.0,580.0,130.0,702.0,448327.86447147105,-0.10822730721918526,446989.0,397.0
condition_11,231347.0,139112665.0,1406.9731990254086,42.67240900250069,0.0,0.0,0.0,223.0,133.0,464.0,155914.59942274308,-0.014499240959303586,153578.0,618.0
condition_12,800466.0,649985377.0,1820.2829143216247,140.9591553209225,0.05279244234509586,50.0,0.0,683.0,143.0,813.0,508342.18498252705,0.012474119403867256,507312.0,473.0
condition_12,610703.0,377138657.0,1829.7391162264228,105.52264517921645,-0.10669630452903585,35.0,0.0,618.0,147.0,765.0,380986.0118219278,-0.0008558885691272234,379776.0,533.0
condition_12,699066.5,418372406.0,1646.9627672433062,112.25312586829675,0.004167824395665463,49.0,0.0,748.0,150.0,885.0,404888.29379196605,-0.011479342192336055,403999.0,551.0
condition_12,504365.0,279534357.0,1914.4228055408587,93.54765212559045,0.0,28.0,0.0,602.0,145.0,777.0,337964.80959097616,0.01528383644165404,336678.0,636.0
condition_12,617282.0,381269073.0,1788.9862496111768,101.55209780494582,-0.005001389274798555,37.0,0.0,653.0,146.0,816.0,366602.00339298573,-0.010316624124225088,365486.0,579.0
condition_12,121490.0,64193268.0,1152.4154262094899,25.091414281744928,0.0,0.0,0.0,155.0,57.0,254.0,93168.27701530699,-0.021710693804837485,90304.0,314.0
condition_13,1063993.0,749188817.0,1669.8389599854372,164.0150041678244,0.007779938871908864,82.0,0.0,734.0,156.0,836.0,591150.0059743614,-0.014675146837074066,590290.0,383.0
condition_13,737608.5,527784717.0,1987.7386129958743,119.463462072798,-0.004723534315087524,41.0,0.0,565.0,147.0,772.0,431123.17066211934,0.016998689197429712,429949.0,683.0
condition_13,1015109.5,798217146.0,1801.2214482173,169.10113920533482,0.1414281744929147,78.0,0.0,728.0,154.0,877.0,609374.4741108041,0.012434845095281314,608595.0,591.0
condition_13,846225.5,661500668.0,1431.7001644282543,142.3475965545985,0.020283412058905253,53.0,0.0,570.0,152.0,728.0,513531.1135160884,-0.06286070752526039,512309.0,514.0
condition_13,1061146.0,857556670.0,2043.0370956907138,166.90080577938315,-0.1811614337315921,73.0,0.0,649.0,136.0,784.0,601719.9856273305,0.042582148090186366,600676.0,404.0
condition_13,937153.5,741415701.0,1850.3388499861294,149.5996110030564,-0.0008335648791330926,64.0,0.0,638.0,148.0,772.0,539545.5374764672,-0.0008207177845203772,538409.0,453.0
condition_13,66304.0,55941168.0,153.62889687966472,12.779661016949152,-0.0033342595165323703,0.0,0.0,42.0,30.0,74.0,49378.4970351214,-0.027872380494268063,45994.0,81.0
condition_14,420356.0,303937148.0,1212.0031485621494,68.63017504862462,0.0,0.0,0.0,422.0,107.0,559.0,248844.53073649015,-0.05351542105314466,247000.0,448.0
condition_14,228877.5,101694860.0,1826.7588610083144,46.929424840233395,0.0030564045568213394,0.0,0.0,318.0,130.0,561.0,170863.1359453407,-0.0008063017597454965,168899.0,724.0
condition_14,260793.0,128648335.0,1466.249755816894,49.78105029174771,0.0,0.0,0.0,314.0,120.0,526.0,181157.54284740007,-0.017917598990555464,179162.0,608.0
condition_14,320557.0,172586793.0,1588.2022744579303,58.572381217004725,0.017782717421505972,0.0,0.0,349.0,112.0,551.0,212725.5432773779,-0.011007949794852092,210802.0,607.0
condition_14,215963.5,93887879.0,1973.8205003438197,44.1536537927202,-0.0030564045568213394,0.0,0.0,267.0,129.0,547.0,160984.03084872468,0.0054477999316718045,158909.0,775.0
condition_14,177773.0,77470317.0,1494.6038713253233,37.751041956098916,0.0,0.0,0.0,198.0,100.0,372.0,138399.7301808694,-0.015322762113381856,135866.0,486.0
condition_15,591771.5,352534424.0,1642.6847093661413,108.10197277021395,0.10252848013337038,46.0,0.0,675.0,136.0,826.0,390116.6298090597,-0.015814639594750976,389059.0,553.0
condition_15,498883.0,375646098.0,1211.6709485958777,88.30397332592386,-0.1828285634898583,21.0,0.0,533.0,141.0,712.0,319315.60135194927,-0.05374689920886572,317806.0,579.0
condition_15,220666.5,103692693.0,1855.8461797399746,52.4937482634065,0.025840511253125868,0.0,0.0,349.0,152.0,607.0,190832.2201442937,-0.013773045430018938,188925.0,813.0
condition_15,260492.0,139912995.0,2288.5419699935665,59.44206724090025,-0.048346762989719363,0.0,0.0,370.0,150.0,603.0,215855.48743893858,0.022362443212122687,213932.0,686.0
condition_15,487925.5,257492762.0,2111.822784875017,87.5262572936927,-0.006390664073353709,29.0,0.0,643.0,149.0,822.0,316140.81128875865,0.004114377889483918,315007.0,628.0
condition_15,329908.0,214847784.0,1324.9549737873954,61.53431508752431,0.0,0.0,0.0,336.0,93.0,466.0,223641.89483258786,-0.05237898603747321,221462.0,430.0
condition_16,1260184.5,1457909775.0,2174.9006681171336,174.70436232286747,0.005834954153931648,55.0,0.0,675.0,142.0,794.0,629889.7826174553,0.04062041555713085,628761.0,423.0
condition_16,755422.0,558027529.0,1743.945555340156,110.79021950541816,0.014448457904973604,26.0,0.0,585.0,133.0,720.0,400172.9023813031,0.0005374317544314481,398734.0,396.0
condition_16,1021082.0,798559914.0,1662.0718995807244,136.1517088080022,-0.05668241178105029,52.0,0.0,656.0,141.0,788.0,491158.2070869641,-0.03409818344378991,490010.0,373.0
condition_16,648569.5,458157826.0,1692.335247701302,104.74492914698527,0.07696582383995554,18.0,0.0,507.0,153.0,679.0,378511.5677045174,-0.006846679540638838,376977.0,533.0
condition_16,883422.5,731133041.0,1742.159782958024,126.47318699638788,-0.10919699916643512,41.0,0.0,625.0,142.0,742.0,456414.8419724011,0.006006184748419598,455177.0,428.0
condition_16,686893.0,550297685.0,1808.2067612623157,101.57321478188386,0.0011114198388441233,14.0,0.0,508.0,140.0,670.0,367160.0552782553,-0.0005252643152210345,365562.0,520.0
condition_16,669534.0,557413565.0,834.8779980121222,94.13225896082245,-0.04612392331203112,0.0,0.0,482.0,89.0,559.0,340650.32911775913,-0.15371498704076555,338782.0,363.0
condition_16,67.0,3391.0,632.6773813034503,0.037232564601278134,0.0,0.0,0.0,0.0,4.0,4.0,3725.990906059196,-1.964853546670798e-05,134.0,8.0
condition_16,68.0,748.0,1904.1818181818182,0.0333425951653237,0.0,0.0,0.0,1.0,9.0,11.0,3698.3114718509514,7.507202225349969e-06,120.0,22.0
condition_16,1098.5,5988.0,1841.6604876419506,0.21367046401778272,0.0008335648791330926,0.0,0.0,63.0,10.0,87.0,4192.81051971905,9.64035568212622e-05,769.0,207.0
condition_16,118084.5,151048548.0,3257.0056153336873,21.81411503195332,0.19699916643512086,0.0,0.0,203.0,32.0,245.0,81459.46488599708,0.04294209822084094,78509.0,344.0
condition_17,295638.0,94345291.0,1655.9837340159352,64.98027229786052,0.005001389274798555,27.0,0.0,667.0,152.0,854.0,234875.52348093924,-0.0075522761743011466,233864.0,763.0
condition_17,252706.0,90448702.0,1683.0769220546692,59.80883578771881,0.0,18.0,0.0,613.0,150.0,823.0,216487.8319634543,0.00197920565683171,215252.0,846.0
condition_17,337284.0,123815164.0,1783.9270363038893,71.14587385384829,0.0,28.0,0.0,641.0,134.0,801.0,257219.05981613198,0.0017004260571316413,256054.0,640.0
condition_17,287782.0,108697080.0,1599.7814037874798,64.5668241178105,-0.0022228396776882466,17.0,0.0,571.0,144.0,736.0,233779.0906462433,-0.011067108107029955,232376.0,599.0
condition_17,376492.0,143663472.0,1448.5544141867879,83.4431786607391,0.011114198388441235,35.0,0.0,721.0,150.0,867.0,301260.95757038216,-0.01665361934055705,300312.0,597.0
condition_18,255330.0,76373825.0,1765.1843125311584,64.81800500138928,0.09947207557654904,18.0,0.0,564.0,159.0,810.0,234582.49795859784,-0.0020924614526076296,233280.0,885.0
condition_18,258988.5,81206526.0,1715.3747602501799,70.9166435120867,-0.0964156710197277,21.0,0.0,571.0,162.0,806.0,256506.48513826856,-0.000278652027673752,255229.0,857.0
condition_18,271133.0,88300894.0,1631.6444296928637,65.00194498471798,0.015559877743817728,24.0,0.0,598.0,151.0,825.0,235124.19719486858,-0.007157455284783057,233942.0,906.0
condition_18,267434.0,90218827.0,2049.8612781121615,66.54459572103362,0.0016671297582661851,18.0,0.0,523.0,150.0,786.0,240829.75578247488,0.00640046204221673,239494.0,885.0
condition_18,252143.0,75098532.0,1916.617721941622,60.99805501528202,0.026118366212836898,18.0,0.0,549.0,153.0,790.0,220853.72188655875,0.0016723110858264797,219532.0,798.0
condition_19,422553.5,273072552.0,1550.8325637246764,89.37843845512643,-0.06918588496804667,16.0,0.0,545.0,154.0,770.0,322954.22093261214,-0.0330504783732365,321673.0,795.0
condition_19,568685.0,393358423.0,2218.608464702941,100.7885523756599,0.17338149485968324,21.0,0.0,540.0,147.0,737.0,364078.604481869,0.06222277190504929,362738.0,671.0
condition_19,856753.0,621439946.0,1599.182816562938,126.82078355098639,-0.12170047235343151,50.0,0.0,709.0,147.0,830.0,457421.03762416134,-0.028824140341368827,456428.0,499.0
condition_19,417449.5,337926586.0,1838.6869629991172,86.07029730480689,0.06918588496804667,14.0,0.0,508.0,156.0,761.0,311144.72196706344,-0.01571602075998104,309767.0,889.0
condition_19,671851.0,412184540.0,1948.9799566960953,112.14448457904973,-0.050569602667407614,40.0,0.0,659.0,152.0,813.0,404649.8086646681,0.03400118909474198,403608.0,511.0
condition_2,767642.5,557572655.0,1864.8479017895884,126.3275909974993,-0.40427896637954985,35.0,0.0,644.0,141.0,742.0,455845.565170627,0.0208596743204481,454653.0,0.0
condition_2,653882.0,470018384.0,2348.538983843236,108.8485690469575,0.054459572103362046,22.0,0.0,580.0,126.0,693.0,393119.1138978003,0.04377196814084123,391746.0,0.0
condition_2,735657.0,664149482.0,1729.993071452851,116.42789663795499,-0.2378438455126424,19.0,0.0,566.0,144.0,702.0,420374.3287811453,-0.0018773368218109655,419024.0,0.0
condition_2,1075343.0,1095890978.0,1195.913120763916,135.33592664629063,0.15615448735759932,47.0,0.0,638.0,153.0,752.0,488153.407289866,-0.07374892930161492,487074.0,0.0
condition_2,327901.0,131123131.0,1258.8832805098286,61.386496248958046,-0.017782717421505972,4.0,0.0,465.0,140.0,619.0,222558.5868757032,-0.03233654300436291,220930.0,0.0
condition_2,1175995.0,1302153370.0,2206.448726821634,140.53014726312864,0.22283967768824672,42.0,0.0,640.0,134.0,729.0,506968.9853582139,0.06249431835089912,505768.0,0.0
condition_2,669670.0,589238053.0,1432.8302955953186,110.90636287857738,-0.31286468463462075,15.0,0.0,555.0,150.0,707.0,400531.1359976663,-0.04203190074834627,399152.0,0.0
condition_2,418253.5,284177450.0,1616.391217195453,71.96637954987497,-0.008613503751041956,0.0,0.0,392.0,93.0,504.0,261103.06602689635,-0.027653313604936742,259007.0,0.0
condition_2,30318.5,262845.0,1910.7725541669045,0.30036121144762434,0.0008335648791330926,0.0,0.0,193.0,16.0,259.0,4299.914183251069,0.0004451856053383964,1081.0,0.0
condition_2,32406.0,297181.0,1797.5517075452333,0.6968602389552654,0.0,0.0,0.0,737.0,9.0,765.0,5023.101728359827,3.464853662411536e-05,2508.0,0.0
condition_20,287602.5,134621487.0,1527.954215733778,55.86857460405668,-0.026951931091969993,3.0,0.0,455.0,119.0,595.0,202892.34235696308,-0.011888852383399106,201071.0,567.0
condition_20,251811.0,105114571.0,1792.074416609663,51.71269797165879,0.0,0.0,0.0,371.0,120.0,534.0,188084.41253818036,-1.283603494104499e-05,186114.0,572.0
condition_20,245740.0,120505872.0,2235.322545377706,51.68046679633231,0.0,0.0,0.0,383.0,132.0,566.0,187918.0762263494,0.02509894432347824,185998.0,600.0
condition_20,266020.0,138945472.0,1793.358578536478,48.690191719922204,0.0,0.0,0.0,365.0,118.0,515.0,177281.53391949716,-0.002407358724847641,175236.0,562.0
condition_20,229685.0,90496221.0,2109.166878338489,51.60600166712976,0.0,0.0,0.0,385.0,125.0,578.0,187597.0966134878,0.01243358442131568,185730.0,584.0
