number,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate
control_1,804886.0,738816432.0,1630.23400663211,136.08002222839679,-0.01667129758266185,43.0,0.0,619.0,144.0,773.0,490932.345115994,-0.017077410525520365,489752.0,543.0
control_1,837776.0,476905330.0,1909.842083893254,91.7404834676299,0.07335370936371215,0.0,0.0,406.0,100.0,509.0,332167.7000768072,0.07049972534720103,330174.0,367.0
control_1,898694.5,779596611.0,2113.790082891984,138.52264517921645,-0.07585440400111142,43.0,0.0,640.0,150.0,761.0,499762.0464038569,0.04040011718622311,498543.0,443.0
control_1,625250.0,503482648.0,1733.6603114016355,109.88052236732426,0.04667963323145318,17.0,0.0,504.0,139.0,667.0,396980.98566117603,-0.007308517539237464,395460.0,555.0
control_1,1037355.0,998187186.0,1664.4006311908315,153.03195332036677,-0.035009724923589884,51.0,0.0,624.0,123.0,743.0,551985.5610615121,-0.04285254908841685,550762.0,445.0
control_1,617369.0,810965589.0,2012.0172749623289,91.14809669352599,0.0,0.0,0.0,391.0,94.0,495.0,330119.1842582877,-0.030473407572536616,328042.0,358.0
control_1,229678.0,519722354.0,1328.9835769600165,25.481522645179215,0.0,0.0,0.0,43.0,24.0,88.0,95027.20642033644,-0.017101006463555037,91708.0,106.0
control_1,194.0,37636.0,3552.0,0.10780772436787997,0.0,0.0,0.0,0.0,1.0,1.0,3985.0051546049353,8.744470839336747e-05,388.0,2.0
control_1,2907.5,15865.0,2213.8081311062087,0.3720477910530703,0.0008335648791330926,0.0,0.0,118.0,3.0,150.0,4610.137637319455,0.0009261200560277826,1339.0,391.0
control_1,6219.5,3168711.0,396.1815826687887,0.9805501528202278,-0.0008335648791330926,0.0,0.0,80.0,12.0,137.0,6840.651522402124,-0.0021073336245370613,3529.0,331.0
control_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3599.0,0.0,0.0,0.0
control_1,4797.5,14437.0,2617.4152524762762,0.14198388441233675,0.0008335648791330926,0.0,0.0,47.0,1.0,37.0,3968.298408275305,0.0010100534472777872,511.0,167.0
control_1,7725.0,23214.0,1784.1694236236754,0.07779938871908863,0.0,0.0,0.0,21.0,0.0,18.0,3801.102354566415,-3.3395835910172666e-05,280.0,92.0
control_1,8760.0,26289.0,1874.2434097911673,0.051681022506251735,0.0,0.0,0.0,17.0,4.0,19.0,3733.0612149304397,0.0001684610469491551,186.0,62.0
control_10,1109505.5,1068362464.0,2200.880242305106,162.1914420672409,0.021394831897749374,51.0,0.0,645.0,129.0,750.0,584924.8260780517,0.10026202496877774,583727.0,378.0
control_10,579477.5,491119338.0,1421.1567377316346,82.43762156154487,-0.12531258682967492,0.0,0.0,431.0,69.0,476.0,298790.8056864005,-0.052096848670024384,296693.0,336.0
control_10,1209734.0,1245556419.0,2192.1238063933897,160.65073631564323,0.06446235065295916,58.0,0.0,694.0,127.0,795.0,579209.6233339338,0.08455537805211254,578182.0,392.0
control_10,1013095.0,923846588.0,1839.9147469146685,156.19449847179771,0.18505140316754654,56.0,0.0,635.0,137.0,759.0,563351.2054704514,-0.0008046361217568992,562144.0,428.0
control_10,1347270.5,1340311104.0,2039.9017646846266,186.59599888858017,0.39149763823284245,88.0,0.0,746.0,138.0,845.0,672463.5900342556,0.03341584568537905,671559.0,344.0
control_10,809496.5,741533684.0,1563.2717153358606,108.15198666296193,-0.559322033898305,0.0,0.0,428.0,105.0,525.0,391225.3425652948,-0.05128300987266021,389239.0,266.0
control_11,671758.5,470420584.0,1823.8694094198054,124.92164490136149,0.0002778549597110308,37.0,0.0,624.0,131.0,738.0,450835.2361522866,0.002901927435848339,449593.0,434.0
control_11,635886.0,538607607.0,1655.836686873975,108.38955265351487,0.08002222839677688,17.0,0.0,496.0,137.0,636.0,391689.3630118632,-0.01976361893752205,390094.0,464.0
control_11,746993.0,617088250.0,2240.117462721094,115.87274242845234,0.011669908307863295,35.0,0.0,630.0,129.0,752.0,418248.2852827907,0.01649786881413599,417026.0,474.0
control_11,822931.5,644662586.0,2156.1778248582896,127.6018338427341,0.16643512086690748,37.0,0.0,587.0,133.0,683.0,460615.9969765808,0.04716874335149771,459239.0,350.0
control_11,684429.0,542102125.0,1330.3057121681638,117.82495137538206,-0.19394276187829954,30.0,0.0,586.0,129.0,733.0,425360.06492231984,-0.07477528136126144,424052.0,484.0
