number,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate
condition_1,20694.5,11191987.0,31.821196897387388,216.6949152542373,3.3389830508474576,150.0,0.0,16.0,2.0,14.0,12788.374959272262,2.9990830786329523,12785.0,3.0
condition_1,16921.0,8078860.0,39.88993830812763,149.11864406779662,-5.186440677966102,106.0,0.0,15.0,2.0,15.0,8803.53927225307,5.044623506529589,8798.0,3.0
condition_1,16733.5,9051577.0,34.0398405714275,194.22033898305085,0.5932203389830508,119.0,-6.0,14.0,2.0,16.0,11461.499310922889,3.3744651292025534,11459.0,7.0
condition_1,13077.5,8124159.0,21.132862613841013,168.35593220338984,0.3898305084745763,90.0,12.0,17.0,2.0,18.0,9935.297455439579,-3.898110586273968,9933.0,14.0
condition_1,14299.5,7685663.0,35.597246847799596,148.08474576271186,-0.05084745762711865,79.0,-9.0,13.0,2.0,13.0,8740.510339446393,0.9242289524867997,8737.0,16.0
condition_1,12361.0,4863821.0,19.621070758977357,183.22033898305085,-2.5762711864406778,147.0,-12.0,19.0,2.0,18.0,10810.458618894661,-3.588469019171994,10810.0,6.0
condition_1,7578.0,2744079.0,16.869499019525314,114.16949152542372,0.1016949152542373,70.0,0.0,15.0,2.0,17.0,6742.206936606955,-4.242206168380107,6736.0,12.0
condition_1,3378.0,709274.0,13.441187749727186,63.69491525423729,-8.474576271186441,37.0,0.0,18.0,1.0,18.0,3763.246877267074,-1.4905807168657956,3758.0,23.0
condition_1,5872.0,1282731.0,33.63691919817951,77.01694915254237,4.237288135593221,49.0,-4.0,17.0,1.0,19.0,4547.2664785313755,1.6697693803834395,4544.0,11.0
condition_1,2386.0,322376.0,21.366289674169295,40.57627118644068,-3.593220338983051,16.0,0.0,10.0,2.0,15.0,2408.6541676856014,-0.6580161155876633,2394.0,21.0
condition_1,1938.5,268835.0,18.51605631707181,41.067796610169495,0.288135593220339,18.0,0.0,13.0,3.0,17.0,2435.3142244661185,-0.4592664629063631,2423.0,27.0
condition_1,8924.0,8944564.0,26.918622640522223,136.47457627118644,0.0,8.0,0.0,5.0,1.0,10.0,8081.296158464762,-1.4647957766046116,8052.0,12.0
condition_1,480.0,109038.0,25.689768704488344,16.271186440677965,0.0,0.0,0.0,1.0,1.0,5.0,1009.492766186389,0.01094748541261451,960.0,10.0
condition_1,245.0,25785.0,25.42986232305604,8.305084745762711,0.0,0.0,0.0,3.0,2.0,7.0,535.662017404169,-0.030369547096415678,490.0,14.0
condition_1,424.0,81138.0,26.324077497596686,14.271186440677965,0.0,0.0,0.0,0.0,3.0,4.0,892.2359354764735,-0.061405946096137844,842.0,8.0
condition_1,242.0,24952.0,19.755570695735813,8.203389830508474,0.0,0.0,0.0,2.0,1.0,6.0,532.0825248700467,-0.11425395943317591,484.0,12.0
condition_1,733.0,62121.0,27.74762157724441,15.423728813559322,0.0,0.0,0.0,3.0,2.0,7.0,949.8818212518663,-0.10500138927479867,910.0,12.0
condition_1,53.5,1166.0,51.32504288164665,1.8135593220338984,0.15254237288135594,0.0,0.0,0.0,1.0,3.0,159.46835657250648,0.06657404834676298,107.0,7.0
condition_1,600.0,63806.0,16.63619408833025,13.254237288135593,0.0,0.0,0.0,0.0,2.0,4.0,831.0979768081049,-0.30525145873853854,782.0,8.0
condition_1,812.0,73382.0,40.615096345152764,20.88135593220339,0.3389830508474576,0.0,0.0,1.0,2.0,9.0,1266.6206918158243,0.4613503751041955,1232.0,17.0
condition_1,8802.5,4216330.0,18.92301575066468,124.49152542372882,-0.05084745762711865,52.0,0.0,13.0,1.0,16.0,7358.414497853464,-4.195220894692971,7345.0,15.0
condition_1,6685.5,2823259.0,31.68146988993925,100.9322033898305,-0.05084745762711865,49.0,0.0,16.0,2.0,18.0,5959.8732394496,1.4533203667685461,5955.0,13.0
